,0
1505,446.301
1506,447.1153
1507,447.1528
1508,447.1717
1509,447.1798
1510,447.2097
1511,447.2466
1512,447.2782
1513,448.1907
1514,448.214
1515,448.272
1516,449.1096
1517,449.2135
1518,449.2461
1519,449.265
1520,450.1828
1521,450.2167
1522,450.2462
1523,450.2765
1524,451.1842
1525,451.2174
1526,451.258
1527,451.2823
1528,451.3175
1529,452.1619
1530,452.1766
1531,452.2036
1532,452.2853
1533,452.3172
1534,453.1948
1535,453.2446
1536,453.3005
1537,454.1775
1538,454.2172
1539,454.2441
1540,454.2793
1541,455.1187
1542,455.1817
1543,455.2058
1544,455.2425
1545,456.1142
1546,456.1698
1547,456.2029
1548,456.2322
1549,456.2447
1550,457.1157
1551,457.2057
1552,457.2381
1553,458.117
1554,458.1961
1555,458.2065
1556,458.2225
1557,458.2663
1558,459.1126
1559,459.2164
1560,459.2418
1561,459.2664
1562,459.2883
1563,460.1191
1564,460.1918
1565,460.2276
1566,460.2802
1567,461.1069
1568,461.1922
1569,461.2161
1570,461.2663
1571,462.1965
1572,462.223
1573,462.2703
1574,462.2966
1575,463.1203
1576,463.189
1577,463.221
1578,463.256
1579,463.286
1580,464.1125
1581,464.1782
1582,464.2161
1583,464.2477
1584,464.3128
1585,465.1191
1586,465.1888
1587,465.2326
1588,465.2579
1589,465.3056
1590,466.1262
1591,466.189
1592,466.2302
1593,466.3175
1594,467.1154
1595,467.2552
1596,468.1167
1597,468.2369
1598,468.2608
1599,469.1154
1600,469.2109
1601,469.2391
1602,469.2918
1603,470.129
1604,470.2489
1605,471.1233
1606,471.2195
1607,471.248
1608,471.2791
1609,471.312
1610,472.1264
1611,472.2094
1612,472.2565
1613,472.2699
1614,473.1282
1615,473.2469
1616,473.2846
1617,474.1247
1618,474.205
1619,474.2312
1620,474.2547
1621,474.2889
1622,475.186
1623,475.2143
1624,475.2498
1625,476.2163
1626,476.2417
1627,476.2505
1628,476.3245
1629,477.1188
1630,477.2362
1631,478.1246
1632,478.2083
1633,478.241
1634,478.2931
1635,478.3306
1636,479.1227
1637,479.1901
1638,479.2504
1639,479.276
1640,479.309
1641,479.3242
1642,480.2054
1643,480.25
1644,480.2795
1645,480.3091
1646,481.2103
1647,481.2347
1648,481.2738
1649,481.2996
1650,481.3191
1651,481.3392
1652,482.2083
1653,482.2515
1654,482.3199
1655,483.1226
1656,483.2195
1657,483.2525
1658,483.2838
1659,483.336
1660,484.181
1661,484.218
1662,484.3461
1663,485.1291
1664,485.222
1665,485.3393
1666,486.2208
1667,486.2442
1668,486.2615
1669,486.2954
1670,486.3426
1671,487.2242
1672,487.3552
1673,488.2165
1674,488.2472
1675,488.3172
1676,489.1244
1677,489.247
1678,489.2753
1679,489.2882
1680,489.3225
1681,489.3669
